address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
11333 N 92nd St UNIT 1073,SCOTTSDALE,AZ,85260,239000,1364.0,3.0,2.0,151.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11333-N-92nd-St-UNIT-1073-Scottsdale-AZ-85260/8059451_zpid/
9100 E Raintree Dr UNIT 122,SCOTTSDALE,AZ,85260,279000,1240.0,2.0,2.0,,Apartment for sale,http://www.zillow.com/homes/for_sale//homedetails/9100-E-Raintree-Dr-UNIT-122-Scottsdale-AZ-85260/8066168_zpid/
16801 N 94th St APT 2016,SCOTTSDALE,AZ,85260,288000,1539.0,3.0,2.0,63.0,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/16801-N-94th-St-APT-2016-Scottsdale-AZ-85260/59267209_zpid/
12985 N 99th St,SCOTTSDALE,AZ,85260,629900,3081.0,4.0,3.0,62.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12985-N-99th-St-Scottsdale-AZ-85260/8047037_zpid/
11495 N 93rd Way,SCOTTSDALE,AZ,85260,464900,2068.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11495-N-93rd-Way-Scottsdale-AZ-85260/8048881_zpid/
10800 N 101st St,SCOTTSDALE,AZ,85260,574900,2576.0,3.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10800-N-101st-St-Scottsdale-AZ-85260/8049780_zpid/
14743 N 98th St,SCOTTSDALE,AZ,85260,585000,2780.0,4.0,3.0,24.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/14743-N-98th-St-Scottsdale-AZ-85260/8044296_zpid/
10380 E Desert Cove Ave,SCOTTSDALE,AZ,85260,1999900,5350.0,7.0,6.5,70.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10380-E-Desert-Cove-Ave-Scottsdale-AZ-85260/8049533_zpid/
9934 E Wood Dr,SCOTTSDALE,AZ,85260,463900,1882.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9934-E-Wood-Dr-Scottsdale-AZ-85260/8047122_zpid/
15095 N Thompson Peak Pkwy UNIT 1086,SCOTTSDALE,AZ,85260,274900,1375.0,3.0,2.0,158.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/15095-N-Thompson-Peak-Pkwy-UNIT-1086-Scottsdale-AZ-85260/67806592_zpid/
9647 E Desert Cove Ave,SCOTTSDALE,AZ,85260,695000,2614.0,3.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9647-E-Desert-Cove-Ave-Scottsdale-AZ-85260/8049548_zpid/
11818 N 80th Pl,SCOTTSDALE,AZ,85260,675000,2590.0,3.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11818-N-80th-Pl-Scottsdale-AZ-85260/7863486_zpid/
14879 N 97th Pl,SCOTTSDALE,AZ,85260,549900,2780.0,5.0,3.0,97.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/14879-N-97th-Pl-Scottsdale-AZ-85260/8044251_zpid/
10839 N Sundown Dr,SCOTTSDALE,AZ,85260,1195000,5378.0,5.0,5.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10839-N-Sundown-Dr-Scottsdale-AZ-85260/7864726_zpid/
9186 E Pershing Ave,SCOTTSDALE,AZ,85260,589000,3026.0,4.0,3.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9186-E-Pershing-Ave-Scottsdale-AZ-85260/8056759_zpid/
15050 N Thompson Peak Pkwy UNIT 1073,SCOTTSDALE,AZ,85260,219900,1090.0,2.0,1.0,,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/15050-N-Thompson-Peak-Pkwy-UNIT-1073-Scottsdale-AZ-85260/8062170_zpid/
9058 E Sahuaro Dr,SCOTTSDALE,AZ,85260,466000,2218.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9058-E-Sahuaro-Dr-Scottsdale-AZ-85260/8047916_zpid/
8260 E Kalil Dr,SCOTTSDALE,AZ,85260,1285000,4395.0,4.0,3.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8260-E-Kalil-Dr-Scottsdale-AZ-85260/7863665_zpid/
9850 E Mcdowell Mountain Ranch Rd N # 1006,Scottsdale,AZ,85260,537500,1700.0,2.0,2.5,205.0,New construction,http://www.zillow.com/homes/for_sale//homedetails/9850-E-Mcdowell-Mountain-Ranch-Rd-N-1006-Scottsdale-AZ-85260/2089141359_zpid/
8365 E Sutton Dr,SCOTTSDALE,AZ,85260,1249000,5167.0,4.0,4.0,122.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8365-E-Sutton-Dr-Scottsdale-AZ-85260/7861593_zpid/
11282 N 98th Pl,SCOTTSDALE,AZ,85260,2975000,6297.0,5.0,8.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11282-N-98th-Pl-Scottsdale-AZ-85260/82829769_zpid/
8844 E Cortez St,SCOTTSDALE,AZ,85260,525000,2068.0,4.0,2.0,9.0,For sale by owner,http://www.zillow.com/homes/for_sale//homedetails/8844-E-Cortez-St-Scottsdale-AZ-85260/8048799_zpid/
8508 E Sweetwater Ave,Scottsdale,AZ,85260,3195000,7894.0,5.0,5.0,323.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8508-E-Sweetwater-Ave-Scottsdale-AZ-85260/2143903321_zpid/
8757 E Sharon Dr,SCOTTSDALE,AZ,85260,798800,3858.0,4.0,4.5,165.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8757-E-Sharon-Dr-Scottsdale-AZ-85260/7861448_zpid/
8940 E Palm Ridge Dr,SCOTTSDALE,AZ,85260,427000,1922.0,4.0,3.0,38.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/8940-E-Palm-Ridge-Dr-Scottsdale-AZ-85260/8043850_zpid/
9155 E Cortez St,SCOTTSDALE,AZ,85260,370000,1679.0,3.0,2.5,193.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9155-E-Cortez-St-Scottsdale-AZ-85260/8058901_zpid/
13080 N 102nd Pl,SCOTTSDALE,AZ,85260,555000,3139.0,4.0,2.5,29.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/13080-N-102nd-Pl-Scottsdale-AZ-85260/8047592_zpid/
9015 E Windrose Dr,SCOTTSDALE,AZ,85260,445000,1926.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9015-E-Windrose-Dr-Scottsdale-AZ-85260/8047938_zpid/
14145 N 92nd St UNIT 2028,SCOTTSDALE,AZ,85260,186000,1029.0,2.0,2.0,10.0,Auction,http://www.zillow.com/homes/for_sale//homedetails/14145-N-92nd-St-UNIT-2028-Scottsdale-AZ-85260/81956417_zpid/
14000 N 94th St UNIT 3193,SCOTTSDALE,AZ,85260,264900,1154.0,2.0,2.0,78.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/14000-N-94th-St-UNIT-3193-Scottsdale-AZ-85260/55268841_zpid/
10836 N 78th St,SCOTTSDALE,AZ,85260,524500,2000.0,2.0,2.0,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/10836-N-78th-St-Scottsdale-AZ-85260/7864508_zpid/
13211 N 76th Pl,SCOTTSDALE,AZ,85260,1065000,4267.0,4.0,3.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/13211-N-76th-Pl-Scottsdale-AZ-85260/7861688_zpid/
7712 E Charter Oak Rd,SCOTTSDALE,AZ,85260,551999,2263.0,3.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/7712-E-Charter-Oak-Rd-Scottsdale-AZ-85260/7862637_zpid/
9093 E Wood Dr,SCOTTSDALE,AZ,85260,384900,1704.0,3.0,2.75,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9093-E-Wood-Dr-Scottsdale-AZ-85260/8048299_zpid/
